
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:wps (ukhe) dev hpg"                           | 4                 | ["AIX","Other"]                           |
| "aviva uk:arc-gis dev hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:business objects (agc) prd hps"               | 6                 | ["Windows","VMWare"]                      |
| "aviva uk:midrange poc hpb"                             | 3                 | ["Linux"]                                 |
| "aviva uk:administrator (dbp) dev hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:eg work manager tst hps(x)"                   | 2                 | ["Windows"]                               |
| "aviva uk:sccm prd hps"                                 | 6                 | ["Windows"]                               |
| "aviva uk:creditor lifestyle prd hps"                   | 8                 | ["Windows"]                               |
| "aviva uk:sas v9 hc prd hps"                            | 1                 | ["Windows"]                               |
| "aviva uk:wcc prd hpg"                                  | 1                 | ["Other"]                                 |
| "aviva uk:house hold product variation db prd hpb"      | 1                 | ["Windows"]                               |
| "aviva uk:mdm sit hps"                                  | 3                 | ["AIX","Other"]                           |
| "aviva uk:tsm prd hpb"                                  | 4                 | ["Windows"]                               |
| "aviva uk:af web service gateway prd hps"               | 14                | ["Linux","AIX"]                           |
